X,Y,UNION,JURISDICCI,CAPITAL,FUENTE,XCOORD,YCOORD
4500000.0,6701943.498920911,-2147483648,CORDOBA,CORDOBA,IGN,4500000.000000,6701943.498921
4515973.499998068,6698163.4996220432,-2147483648,CORDOBA,CORDOBA,IGN,4515973.499998,6698163.499622
4515961.499998066,6697738.4996217806,-2147483648,CORDOBA,CORDOBA,IGN,4515961.499998,6697738.499622
4515971.499998066,6697589.9996216875,-2147483648,CORDOBA,CORDOBA,IGN,4515971.499998,6697589.999622
4515979.99999806,6697550.9996216707,-2147483648,CORDOBA,CORDOBA,IGN,4515979.999998,6697550.999622
4516054.499998056,6697488.9996216288,-2147483648,CORDOBA,CORDOBA,IGN,4516054.499998,6697488.999622
4516090.499998054,6697430.4996215925,-2147483648,CORDOBA,CORDOBA,IGN,4516090.499998,6697430.499622
4516096.499998052,6697367.4996215487,-2147483648,CORDOBA,CORDOBA,IGN,4516096.499998,6697367.499622
4515970.499998068,6697330.9996215235,-2147483648,CORDOBA,CORDOBA,IGN,4515970.499998,6697330.999622
4515932.49999807,6697285.4996214975,-2147483648,CORDOBA,CORDOBA,IGN,4515932.499998,6697285.499621
4515866.99999808,6697208.99962145,-2147483648,CORDOBA,CORDOBA,IGN,4515866.999998,6697208.999621
4515834.499998087,6697073.499621368,-2147483648,CORDOBA,CORDOBA,IGN,4515834.499998,6697073.499621
4515813.499998084,6696985.4996213177,-2147483648,CORDOBA,CORDOBA,IGN,4515813.499998,6696985.499621
4515723.9999981,6696918.9996212684,-2147483648,CORDOBA,CORDOBA,IGN,4515723.999998,6696918.999621
4515630.9999981,6696803.499621206,-2147483648,CORDOBA,CORDOBA,IGN,4515630.999998,6696803.499621
4515586.49999811,6696721.9996211519,-2147483648,CORDOBA,CORDOBA,IGN,4515586.499998,6696721.999621
4515618.99999811,6696611.4996210784,-2147483648,CORDOBA,CORDOBA,IGN,4515618.999998,6696611.499621
4515689.499998097,6696538.9996210355,-2147483648,CORDOBA,CORDOBA,IGN,4515689.499998,6696538.999621
4515695.4999981,6696196.9996208306,-2147483648,CORDOBA,CORDOBA,IGN,4515695.499998,6696196.999621
4515670.499998104,6696099.4996207664,-2147483648,CORDOBA,CORDOBA,IGN,4515670.499998,6696099.499621
4515750.499998094,6695931.4996206583,-2147483648,CORDOBA,CORDOBA,IGN,4515750.499998,6695931.499621
4515929.99999807,6695898.9996206379,-2147483648,CORDOBA,CORDOBA,IGN,4515929.999998,6695898.999621
4516097.99999805,6695851.4996206155,-2147483648,CORDOBA,CORDOBA,IGN,4516097.999998,6695851.499621
4516235.499998036,6695723.4996205326,-2147483648,CORDOBA,CORDOBA,IGN,4516235.499998,6695723.499621
4516255.49999803,6695738.4996205429,-2147483648,CORDOBA,CORDOBA,IGN,4516255.499998,6695738.499621
4516361.99999802,6695781.4996205671,-2147483648,CORDOBA,CORDOBA,IGN,4516361.999998,6695781.499621
4516416.99999801,6695824.4996205932,-2147483648,CORDOBA,CORDOBA,IGN,4516416.999998,6695824.499621
4516640.499997984,6695711.9996205233,-2147483648,CORDOBA,CORDOBA,IGN,4516640.499998,6695711.999621
4516772.499997964,6695675.9996205075,-2147483648,CORDOBA,CORDOBA,IGN,4516772.499998,6695675.999621
4516873.499997957,6695589.9996204479,-2147483648,CORDOBA,CORDOBA,IGN,4516873.499998,6695589.999620
4516882.99999795,6695497.99962039,-2147483648,CORDOBA,CORDOBA,IGN,4516882.999998,6695497.999620
4516792.99999797,6695425.4996203501,-2147483648,CORDOBA,CORDOBA,IGN,4516792.999998,6695425.499620
4516738.99999797,6695345.9996203035,-2147483648,CORDOBA,CORDOBA,IGN,4516738.999998,6695345.999620
4516737.99999797,6695266.9996202476,-2147483648,CORDOBA,CORDOBA,IGN,4516737.999998,6695266.999620
4516827.499997958,6695091.4996201424,-2147483648,CORDOBA,CORDOBA,IGN,4516827.499998,6695091.499620
4516823.499997965,6695011.4996200884,-2147483648,CORDOBA,CORDOBA,IGN,4516823.499998,6695011.499620
4516721.499997975,6694866.4996200046,-2147483648,CORDOBA,CORDOBA,IGN,4516721.499998,6694866.499620
4516699.499997981,6694780.4996199496,-2147483648,CORDOBA,CORDOBA,IGN,4516699.499998,6694780.499620
4516705.499997973,6694673.4996198826,-2147483648,CORDOBA,CORDOBA,IGN,4516705.499998,6694673.499620
4516761.99999797,6694581.9996198267,-2147483648,CORDOBA,CORDOBA,IGN,4516761.999998,6694581.999620
4516899.99999795,6694453.9996197484,-2147483648,CORDOBA,CORDOBA,IGN,4516899.999998,6694453.999620
4516976.499997942,6694327.9996196665,-2147483648,CORDOBA,CORDOBA,IGN,4516976.499998,6694327.999620
4517104.499997927,6694283.9996196404,-2147483648,CORDOBA,CORDOBA,IGN,4517104.499998,6694283.999620
4517142.499997919,6694232.4996196143,-2147483648,CORDOBA,CORDOBA,IGN,4517142.499998,6694232.499620
4517152.99999792,6694074.4996195091,-2147483648,CORDOBA,CORDOBA,IGN,4517152.999998,6694074.499620
4517067.99999793,6693926.4996194206,-2147483648,CORDOBA,CORDOBA,IGN,4517067.999998,6693926.499619
4517056.499997927,6693829.9996193592,-2147483648,CORDOBA,CORDOBA,IGN,4517056.499998,6693829.999619
4517117.99999793,6693714.9996192865,-2147483648,CORDOBA,CORDOBA,IGN,4517117.999998,6693714.999619
4517108.499997923,6693622.9996192306,-2147483648,CORDOBA,CORDOBA,IGN,4517108.499998,6693622.999619
4517073.99999793,6693559.9996191962,-2147483648,CORDOBA,CORDOBA,IGN,4517073.999998,6693559.999619
4517074.99999793,6693435.9996191226,-2147483648,CORDOBA,CORDOBA,IGN,4517074.999998,6693435.999619
4517181.499997914,6693205.4996189764,-2147483648,CORDOBA,CORDOBA,IGN,4517181.499998,6693205.499619
4517272.499997902,6692907.4996187957,-2147483648,CORDOBA,CORDOBA,IGN,4517272.499998,6692907.499619
4517340.9999979,6692715.9996186728,-2147483648,CORDOBA,CORDOBA,IGN,4517340.999998,6692715.999619
4517341.9999979,6692576.4996185871,-2147483648,CORDOBA,CORDOBA,IGN,4517341.999998,6692576.499619
4517354.499997894,6692483.4996185238,-2147483648,CORDOBA,CORDOBA,IGN,4517354.499998,6692483.499619
4517455.99999788,6692441.4996184995,-2147483648,CORDOBA,CORDOBA,IGN,4517455.999998,6692441.499618
4517625.499997863,6692442.9996185005,-2147483648,CORDOBA,CORDOBA,IGN,4517625.499998,6692442.999619
4517881.499997827,6692500.4996185461,-2147483648,CORDOBA,CORDOBA,IGN,4517881.499998,6692500.499619
4518043.99999781,6692564.9996185843,-2147483648,CORDOBA,CORDOBA,IGN,4518043.999998,6692564.999619
4518120.499997802,6692584.4996185964,-2147483648,CORDOBA,CORDOBA,IGN,4518120.499998,6692584.499619
4518175.499997799,6692523.9996185536,-2147483648,CORDOBA,CORDOBA,IGN,4518175.499998,6692523.999619
4518252.99999778,6692338.4996184381,-2147483648,CORDOBA,CORDOBA,IGN,4518252.999998,6692338.499618
4518396.99999777,6692273.9996184027,-2147483648,CORDOBA,CORDOBA,IGN,4518396.999998,6692273.999618
4518531.499997747,6692274.4996184008,-2147483648,CORDOBA,CORDOBA,IGN,4518531.499998,6692274.499618
4518702.499997729,6692196.9996183561,-2147483648,CORDOBA,CORDOBA,IGN,4518702.499998,6692196.999618
4518786.499997716,6692095.4996182928,-2147483648,CORDOBA,CORDOBA,IGN,4518786.499998,6692095.499618
4518948.499997701,6691996.4996182285,-2147483648,CORDOBA,CORDOBA,IGN,4518948.499998,6691996.499618
4519152.99999768,6692009.9996182388,-2147483648,CORDOBA,CORDOBA,IGN,4519152.999998,6692009.999618
4519221.99999767,6692038.4996182574,-2147483648,CORDOBA,CORDOBA,IGN,4519221.999998,6692038.499618
4519263.99999766,6692028.99961825,-2147483648,CORDOBA,CORDOBA,IGN,4519263.999998,6692028.999618
4519294.499997658,6691956.4996182071,-2147483648,CORDOBA,CORDOBA,IGN,4519294.499998,6691956.499618
4519280.99999766,6691849.499618141,-2147483648,CORDOBA,CORDOBA,IGN,4519280.999998,6691849.499618
4519248.499997661,6691765.99961809,-2147483648,CORDOBA,CORDOBA,IGN,4519248.499998,6691765.999618
4519214.499997669,6691637.4996180106,-2147483648,CORDOBA,CORDOBA,IGN,4519214.499998,6691637.499618
4519236.99999766,6691492.9996179156,-2147483648,CORDOBA,CORDOBA,IGN,4519236.999998,6691492.999618
4519252.499997664,6691297.4996177983,-2147483648,CORDOBA,CORDOBA,IGN,4519252.499998,6691297.499618
4519210.499997664,6691251.9996177657,-2147483648,CORDOBA,CORDOBA,IGN,4519210.499998,6691251.999618
4519168.499997673,6691154.4996177126,-2147483648,CORDOBA,CORDOBA,IGN,4519168.499998,6691154.499618
4519294.99999766,6690923.9996175673,-2147483648,CORDOBA,CORDOBA,IGN,4519294.999998,6690923.999618
4519303.99999766,6690716.9996174416,-2147483648,CORDOBA,CORDOBA,IGN,4519303.999998,6690716.999617
4519393.49999764,6690627.9996173829,-2147483648,CORDOBA,CORDOBA,IGN,4519393.499998,6690627.999617
4519397.499997644,6690539.4996173307,-2147483648,CORDOBA,CORDOBA,IGN,4519397.499998,6690539.499617
4519368.99999765,6690432.4996172627,-2147483648,CORDOBA,CORDOBA,IGN,4519368.999998,6690432.499617
4519384.99999764,6690368.9996172274,-2147483648,CORDOBA,CORDOBA,IGN,4519384.999998,6690368.999617
4519418.99999764,6690268.9996171584,-2147483648,CORDOBA,CORDOBA,IGN,4519418.999998,6690268.999617
4519527.499997623,6690155.9996170914,-2147483648,CORDOBA,CORDOBA,IGN,4519527.499998,6690155.999617
4519664.99999761,6690113.9996170653,-2147483648,CORDOBA,CORDOBA,IGN,4519664.999998,6690113.999617
4519769.9999976,6690027.9996170141,-2147483648,CORDOBA,CORDOBA,IGN,4519769.999998,6690027.999617
4519922.499997577,6689874.9996169163,-2147483648,CORDOBA,CORDOBA,IGN,4519922.499998,6689874.999617
4520025.99999757,6689801.4996168716,-2147483648,CORDOBA,CORDOBA,IGN,4520025.999998,6689801.499617
4520098.499997561,6689710.9996168194,-2147483648,CORDOBA,CORDOBA,IGN,4520098.499998,6689710.999617
4520147.499997551,6689551.4996167161,-2147483648,CORDOBA,CORDOBA,IGN,4520147.499998,6689551.499617
4520145.99999755,6689185.9996164916,-2147483648,CORDOBA,CORDOBA,IGN,4520145.999998,6689185.999616
4520275.99999754,6688927.9996163314,-2147483648,CORDOBA,CORDOBA,IGN,4520275.999998,6688927.999616
4520350.499997523,6688851.4996162886,-2147483648,CORDOBA,CORDOBA,IGN,4520350.499998,6688851.499616
4520495.9999975,6688633.9996161554,-2147483648,CORDOBA,CORDOBA,IGN,4520495.999998,6688633.999616
4520541.499997506,6688582.4996161256,-2147483648,CORDOBA,CORDOBA,IGN,4520541.499998,6688582.499616
4520615.99999749,6688242.99961592,-2147483648,CORDOBA,CORDOBA,IGN,4520615.999997,6688242.999616
4520674.99999748,6688179.4996158713,-2147483648,CORDOBA,CORDOBA,IGN,4520674.999997,6688179.499616
4520695.99999748,6688030.499615781,-2147483648,CORDOBA,CORDOBA,IGN,4520695.999997,6688030.499616
4520703.499997484,6687850.99961567,-2147483648,CORDOBA,CORDOBA,IGN,4520703.499997,6687850.999616
4520552.499997499,6687836.4996156571,-2147483648,CORDOBA,CORDOBA,IGN,4520552.499997,6687836.499616
4520504.9999975,6687810.9996156404,-2147483648,CORDOBA,CORDOBA,IGN,4520504.999998,6687810.999616
4520488.499997507,6687516.9996154569,-2147483648,CORDOBA,CORDOBA,IGN,4520488.499998,6687516.999615
4520331.99999752,6687307.9996153368,-2147483648,CORDOBA,CORDOBA,IGN,4520331.999998,6687307.999615
4520222.499997538,6687260.99961531,-2147483648,CORDOBA,CORDOBA,IGN,4520222.499998,6687260.999615
4520151.99999755,6687150.9996152334,-2147483648,CORDOBA,CORDOBA,IGN,4520151.999998,6687150.999615
4520082.99999756,6687006.9996151486,-2147483648,CORDOBA,CORDOBA,IGN,4520082.999998,6687006.999615
4519897.99999758,6686631.9996149186,-2147483648,CORDOBA,CORDOBA,IGN,4519897.999998,6686631.999615
4519886.499997583,6686208.4996146541,-2147483648,CORDOBA,CORDOBA,IGN,4519886.499998,6686208.499615
4519891.99999758,6686073.4996145731,-2147483648,CORDOBA,CORDOBA,IGN,4519891.999998,6686073.499615
4519978.99999756,6685848.4996144362,-2147483648,CORDOBA,CORDOBA,IGN,4519978.999998,6685848.499614
4520094.499997558,6685847.9996144352,-2147483648,CORDOBA,CORDOBA,IGN,4520094.499998,6685847.999614
4520112.49999755,6685685.4996143244,-2147483648,CORDOBA,CORDOBA,IGN,4520112.499998,6685685.499614
4520216.99999753,6685383.4996141484,-2147483648,CORDOBA,CORDOBA,IGN,4520216.999998,6685383.499614
4520327.499997524,6685256.499614072,-2147483648,CORDOBA,CORDOBA,IGN,4520327.499998,6685256.499614
4520454.99999751,6685203.499614032,-2147483648,CORDOBA,CORDOBA,IGN,4520454.999998,6685203.499614
4520593.99999749,6684971.4996138886,-2147483648,CORDOBA,CORDOBA,IGN,4520593.999997,6684971.499614
4520756.499997473,6684773.9996137694,-2147483648,CORDOBA,CORDOBA,IGN,4520756.499997,6684773.999614
4520930.499997453,6684634.4996136874,-2147483648,CORDOBA,CORDOBA,IGN,4520930.499997,6684634.499614
4521259.99999741,6684475.9996135822,-2147483648,CORDOBA,CORDOBA,IGN,4521259.999997,6684475.999614
4521445.99999739,6684342.4996135021,-2147483648,CORDOBA,CORDOBA,IGN,4521445.999997,6684342.499614
4521724.499997348,6684046.4996133223,-2147483648,CORDOBA,CORDOBA,IGN,4521724.499997,6684046.499613
4521874.99999733,6683860.4996132096,-2147483648,CORDOBA,CORDOBA,IGN,4521874.999997,6683860.499613
4521996.99999732,6683657.4996130811,-2147483648,CORDOBA,CORDOBA,IGN,4521996.999997,6683657.499613
4522131.9999973,6683541.499613014,-2147483648,CORDOBA,CORDOBA,IGN,4522131.999997,6683541.499613
4522286.99999728,6683482.9996129787,-2147483648,CORDOBA,CORDOBA,IGN,4522286.999997,6683482.999613
4522481.49999726,6683421.499612933,-2147483648,CORDOBA,CORDOBA,IGN,4522481.499997,6683421.499613
4522664.499997237,6683279.9996128529,-2147483648,CORDOBA,CORDOBA,IGN,4522664.499997,6683279.999613
4522838.499997213,6683029.9996126927,-2147483648,CORDOBA,CORDOBA,IGN,4522838.499997,6683029.999613
4523002.499997196,6682920.9996126303,-2147483648,CORDOBA,CORDOBA,IGN,4523002.499997,6682920.999613
4523421.99999714,6682701.4996124972,-2147483648,CORDOBA,CORDOBA,IGN,4523421.999997,6682701.499612
4523538.99999713,6682544.9996124031,-2147483648,CORDOBA,CORDOBA,IGN,4523538.999997,6682544.999612
4523586.99999712,6682430.4996123249,-2147483648,CORDOBA,CORDOBA,IGN,4523586.999997,6682430.499612
4523676.499997113,6682327.4996122662,-2147483648,CORDOBA,CORDOBA,IGN,4523676.499997,6682327.499612
4523861.499997088,6682311.9996122597,-2147483648,CORDOBA,CORDOBA,IGN,4523861.499997,6682311.999612
4523987.499997075,6682245.4996122187,-2147483648,CORDOBA,CORDOBA,IGN,4523987.499997,6682245.499612
4524142.499997057,6681950.9996120296,-2147483648,CORDOBA,CORDOBA,IGN,4524142.499997,6681950.999612
4524151.9146146672,6681825.9459578414,-2147483648,CORDOBA,CORDOBA,IGN,4524151.914615,6681825.945958
4524143.499997055,6681558.4996117922,-2147483648,CORDOBA,CORDOBA,IGN,4524143.499997,6681558.499612
4524367.99999703,6681284.4996116245,-2147483648,CORDOBA,CORDOBA,IGN,4524367.999997,6681284.499612
4524532.0,6680995.9996114438,-2147483648,CORDOBA,CORDOBA,IGN,4524531.999997,6680995.999611
4524982.99999694,6680490.9996111291,-2147483648,CORDOBA,CORDOBA,IGN,4524982.999997,6680490.999611
4525414.499996895,6679998.9996108348,-2147483648,CORDOBA,CORDOBA,IGN,4525414.499997,6679998.999611
4525658.499996867,6679718.4996106625,-2147483648,CORDOBA,CORDOBA,IGN,4525658.499997,6679718.499611
4525948.99999683,6679385.4996104492,-2147483648,CORDOBA,CORDOBA,IGN,4525948.999997,6679385.499610
4526040.49999682,6679228.4996103551,-2147483648,CORDOBA,CORDOBA,IGN,4526040.499997,6679228.499610
